# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Accuracy	Classification Error
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.8994285714285715	0.016403085822175777	null	null
accuracy	0.8968571428571429	0.014254251066578488	null	null
information_gain	0.7677142857142857	0.03155946767611719	null	null
accuracy	0.8962857142857142	0.01916842642025383	null	null
information_gain	0.7748571428571429	0.029823973373027047	null	null
accuracy	0.8974285714285715	0.015879649407537447	null	null
information_gain	0.766	0.028641343030878993	null	null
accuracy	0.898	0.009651054716604953	null	null
information_gain	0.782	0.01958966824734477	null	null
accuracy	0.8982857142857142	0.012853967861950505	null	null
