iteration rule induction.criterion Rule Induction.pureness accuracy classification_error
1.0	information_gain	0.0	0.500005418879344	0.4999945811206561
3.0	information_gain	0.1	0.500005418879344	0.4999945811206561
2.0	accuracy	0.0	0.500005418879344	0.4999945811206561
4.0	accuracy	0.1	0.500005418879344	0.4999945811206561
5.0	information_gain	0.2	0.500005418879344	0.4999945811206561
6.0	accuracy	0.2	0.500005418879344	0.4999945811206561
7.0	information_gain	0.3	0.500005418879344	0.4999945811206561
9.0	information_gain	0.4	0.500005418879344	0.4999945811206561
8.0	accuracy	0.3	0.500005418879344	0.4999945811206561
10.0	accuracy	0.4	0.500005418879344	0.4999945811206561
11.0	information_gain	0.5	0.500005418879344	0.4999945811206561
12.0	accuracy	0.5	0.500005418879344	0.4999945811206561
13.0	information_gain	0.6	0.5683059253773604	0.4316940746226397
15.0	information_gain	0.7	0.5653528671940334	0.43464713280596656
14.0	accuracy	0.6	0.5846428052185184	0.41535719478148153
17.0	information_gain	0.8	0.5676394830758448	0.4323605169241552
19.0	information_gain	0.9	0.566040973856322	0.433959026143678
18.0	accuracy	0.8	0.5858294981043757	0.41417050189562427
16.0	accuracy	0.7	0.5865284357726717	0.41347156422732834
21.0	information_gain	1.0	0.5655425244479332	0.4344574755520668
20.0	accuracy	0.9	0.5880294245412612	0.41197057545873894
22.0	accuracy	1.0	0.5869294175771922	0.41307058242280775
