# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Accuracy	Classification Error
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.0037142857142857142	0.001309307341415954	null	null
accuracy	0.0037142857142857142	0.001309307341415954	null	null
information_gain	0.8994285714285715	0.014388203785142313	null	null
accuracy	0.8948571428571429	0.01694167666328863	null	null
information_gain	0.7702857142857142	0.024651033840142226	null	null
accuracy	0.8951428571428571	0.012716693190998496	null	null
information_gain	0.7722857142857142	0.03219963239744565	null	null
accuracy	0.8965714285714286	0.011972758194155284	null	null
information_gain	0.7734285714285715	0.025137986541226492	null	null
accuracy	0.8988571428571429	0.01676731514413556	null	null
accuracy	0.8988571428571429	0.019259770910114375	null	null
information_gain	0.7782857142857142	0.022322314268143982	null	null
