iteration rule induction.criterion Rule Induction.pureness accuracy classification_error
1.0	information_gain	0.0	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
2.0	accuracy	0.0	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
3.0	information_gain	0.1	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
4.0	accuracy	0.1	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
5.0	information_gain	0.2	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
6.0	accuracy	0.2	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
7.0	information_gain	0.3	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
8.0	accuracy	0.3	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
9.0	information_gain	0.4	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
10.0	accuracy	0.4	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
11.0	information_gain	0.5	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
12.0	accuracy	0.5	0.0037142857142857142	0.9962857142857142	0.0037142857142857142	1.0	0.007397694897694899
13.0	information_gain	0.6	0.8994285714285717	0.10057142857142858	0.029378969607628147	0.75	0.053763440860215055
14.0	accuracy	0.6	0.8948571428571428	0.10514285714285716	0.027100457724188686	0.8	0.05154639175257732
15.0	information_gain	0.7	0.7702857142857142	0.2297142857142857	0.01217352767737877	0.8	0.024271844660194174
16.0	accuracy	0.7	0.8951428571428572	0.10485714285714287	0.026508159861818398	0.75	0.05167958656330749
17.0	information_gain	0.8	0.7722857142857144	0.22771428571428576	0.012327455565017754	0.75	0.02447980416156671
18.0	accuracy	0.8	0.8965714285714285	0.10342857142857143	0.026162108793687744	0.75	0.05235602094240838
19.0	information_gain	0.9	0.7734285714285715	0.2265714285714286	0.01239866459651959	0.75	0.024600246002460024
20.0	accuracy	0.9	0.8988571428571429	0.10114285714285713	0.028046515943187765	0.75	0.053475935828877004
21.0	information_gain	1.0	0.7782857142857142	0.22171428571428575	0.014143117542023043	0.9	0.027798721505098867
22.0	accuracy	1.0	0.8988571428571429	0.10114285714285716	0.02835220816799764	0.8	0.053475935828877004
