# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Accuracy	Classification Error
information_gain	0.5000054185270276	2.917937588911412E-5	null	null
information_gain	0.5000054185270276	2.917937588911412E-5	null	null
accuracy	0.5000054185270276	2.917937588911412E-5	null	null
accuracy	0.5000054185270276	2.917937588911412E-5	null	null
information_gain	0.5000054185270276	2.917937588911412E-5	null	null
accuracy	0.5000054185270276	2.917937588911412E-5	null	null
information_gain	0.5000054185270276	2.917937588911412E-5	null	null
information_gain	0.5000054185270276	2.917937588911412E-5	null	null
accuracy	0.5000054185270276	2.917937588911412E-5	null	null
accuracy	0.5000054185270276	2.917937588911412E-5	null	null
information_gain	0.5000054185270276	2.917937588911412E-5	null	null
accuracy	0.5000054185270276	2.917937588911412E-5	null	null
information_gain	0.5683059517100871	0.0049821142385477225	null	null
information_gain	0.5653528544800381	0.004877898177756673	null	null
accuracy	0.5846428106983398	0.00296998971612753	null	null
information_gain	0.5676394728856907	0.004515190410591266	null	null
information_gain	0.5660410074125449	0.0047704026960416574	null	null
accuracy	0.585829468117387	0.0032640822100283387	null	null
accuracy	0.586528458103949	0.003653683096419336	null	null
information_gain	0.5655425029260046	0.0031890439870510055	null	null
accuracy	0.5880293900905977	0.002435971773936896	null	null
accuracy	0.5869294291039924	0.0017307342009192652	null	null
